Ad set ID;Age;Gender;reach;impressions;frequency;Currency;cpm;cpc;ctr;amount spent (EUR);purchases;Reporting starts;Reporting ends
23853662536380129;25-34;male;23066;38167;1.654723918;EUR;15.19686985;1.997320832;0.716007464;725.0274634;16;2023-01-01;2023-04-30
23853687780470129;55-64;female;5632;13649;2.4234375;EUR;42.18922124;1.588941064;2.925971512;719.7903036;18;2023-01-01;2023-04-30
23853721607400129;45-54;female;10342;17689;1.710318688;EUR;32.13456595;1.45302124;2.4711682;710.5273878;17;2023-01-01;2023-04-30
23853855992050129;25-34;female;19098;23863;1.249539209;EUR;23.67314626;2.634874176;1.265882192;706.1462798;12;2023-01-01;2023-04-30
23854405947010129;35-44;female;21709;31782;1.463996167;EUR;17.10910938;1.530841416;1.403579432;679.6935884;15;2023-01-01;2023-04-30
23854405947010129;25-34;male;39885;56242;1.410101091;EUR;9.402828576;1.482147208;0.847771048;661.0376546;13;2023-01-01;2023-04-30
23853855992050129;35-44;female;13952;17978;1.28853211;EUR;28.98976963;2.31835624;1.751512992;651.4581032;12;2023-01-01;2023-04-30
23853721607400129;45-54;male;12595;19965;1.585111789;EUR;26.01215902;1.735720432;1.586792752;649.1594407;15;2023-01-01;2023-04-30
23853855950630129;25-34;female;18714;22673;1.211568057;EUR;22.79815558;2.283118472;1.041600512;646.1225275;17;2023-01-01;2023-04-30
23853882046140129;25-34;male;28467;35194;1.236314074;EUR;14.58595686;1.485370368;1.111085856;641.68;16;2023-01-01;2023-04-30
23854172437630129;25-34;female;15693;23071;1.470177406;EUR;21.88564098;2.103866664;1.15676688;631.16;20;2023-01-01;2023-04-30
23853958531360129;18-24;female;28416;33670;1.18490991;EUR;14.91465501;2.274376808;0.585440032;627.728;16;2023-01-01;2023-04-30
23854175826740129;25-34;female;22144;32585;1.471495665;EUR;15.09171713;1.502935768;0.972232448;614.7007304;11;2023-01-01;2023-04-30
23854012916660129;45-54;male;15770;24886;1.578125;EUR;19.63607001;1.221677728;1.607303584;610.8388657;24;2023-01-01;2023-04-30
23853109925400125;25-34;male;23027;37564;1.631288216;EUR;12.95542786;1.462312776;1.039292944;608.3221153;14;2023-01-01;2023-04-30
23854405947010129;18-24;male;39680;51718;1.303387097;EUR;9.264290848;1.798552176;0.72268284;598.917875;10;2023-01-01;2023-04-30
23853936104670129;25-34;male;20685;30423;1.470799814;EUR;15.67790917;2.208204472;0.864603328;596.2152076;8;2023-01-01;2023-04-30
23854065435350129;35-44;female;12954;14539;1.122406126;EUR;32.67193425;1.726103872;1.70353252;593.7797331;12;2023-01-01;2023-04-30
23853701734420129;45-54;male;10829;20802;1.921025414;EUR;22.57278006;1.43160976;1.99361612;586.96;15;2023-01-01;2023-04-30
23853277965280129;35-44;female;14771;23651;1.601169844;EUR;19.52247388;1.644337376;1.209579216;577.1624177;11;2023-01-01;2023-04-30
23853882046140129;18-24;female;20838;27802;1.334190725;EUR;16.59551694;2.354057144;1.031277872;576.744;12;2023-01-01;2023-04-30
23854308274520129;35-44;female;11520;19792;1.718055556;EUR;23.26276799;1.616631688;1.587712208;575.52088;14;2023-01-01;2023-04-30
23854405947010129;25-34;female;22118;31385;1.418945313;EUR;14.57067043;1.944292424;0.976778568;571.6219718;8;2023-01-01;2023-04-30
23852314592870129;18-24;female;36352;46094;1.268001761;EUR;9.664646592;1.36484708;0.631747024;556.8576075;9;2023-01-01;2023-04-30
23854100757070129;25-34;female;9856;11618;1.178733766;EUR;37.92394595;2.699664424;1.415782952;550.7315432;7;2023-01-01;2023-04-30
